subject,idna_subject,expiration_date,epoch
0hacks.com,0hacks.com,14-jun-2021,1623628800.0
100extensionsforgames.com,100extensionsforgames.com,11-aug-2021,1628640000.0
100giveaways.com,100giveaways.com,22-feb-2021,1613952000.0
1centptc.com,1centptc.com,30-mar-2021,1617062400.0
1dollarempire.com,1dollarempire.com,04-jul-2021,1625356800.0
2012hacks.com,2012hacks.com,11-may-2021,1620691200.0
2013-hacks.net,2013-hacks.net,08-may-2021,1620432000.0
2014gameshack.com,2014gameshack.com,25-jun-2021,1624579200.0
2014tools.com,2014tools.com,02-apr-2021,1617321600.0
21boxoffice.com,21boxoffice.com,06-jul-2021,1625529600.0
24-tabs.ru,24-tabs.ru,29-apr-2021,1619654400.0
247gamerz.com,247gamerz.com,26-apr-2021,1619395200.0
247playz.com,247playz.com,20-apr-2022,1650412800.0
24hourdrugsource.com,24hourdrugsource.com,03-mar-2021,1614729600.0
25u.com,25u.com,08-jun-2021,1623110400.0
270inc.com,270inc.com,31-mar-2021,1617148800.0
2in1pill.com,2in1pill.com,09-feb-2021,1612828800.0
3-a.net,3-a.net,02-feb-2021,1612224000.0
30dominos.com,30dominos.com,20-feb-2021,1613779200.0
3604free.com,3604free.com,19-may-2021,1621382400.0
360elite4free.com,360elite4free.com,26-mar-2021,1616716800.0
3dmoviehd.com,3dmoviehd.com,15-aug-2021,1628985600.0
3dsemudownload.com,3dsemudownload.com,26-jul-2021,1627257600.0
3dsemulator.info,3dsemulator.info,19-feb-2021,1613692800.0
3dsemulator.org,3dsemulator.org,10-aug-2021,1628553600.0
3dsvita.com,3dsvita.com,28-aug-2021,1630108800.0
3xfull.com,3xfull.com,24-feb-2021,1614124800.0
411playz.com,411playz.com,04-aug-2022,1659571200.0
4dq.com,4dq.com,06-jun-2021,1622937600.0
4mydomain.com,4mydomain.com,19-may-2021,1621382400.0
4pu.com,4pu.com,08-jun-2021,1623110400.0
7games7.com,7games7.com,12-jul-2021,1626048000.0
7hacks.com,7hacks.com,17-may-2021,1621209600.0
8cheat.com,8cheat.com,09-mar-2021,1615248000.0
999dlce.com,999dlce.com,04-aug-2021,1628035200.0
99cheats.com,99cheats.com,26-jun-2021,1624665600.0
a1hacks.com,a1hacks.com,03-apr-2021,1617408000.0
abscbn-news-online.info,abscbn-news-online.info,26-mar-2021,1616716800.0
accountgiveaway.com,accountgiveaway.com,30-apr-2021,1619740800.0
accounts.mx,accounts.mx,26-apr-2023,1682467200.0
acmetoy.com,acmetoy.com,08-apr-2021,1617840000.0
activefiles.org,activefiles.org,23-may-2021,1621728000.0
activehacks.com,activehacks.com,11-aug-2021,1628640000.0
addictingcheats.com,addictingcheats.com,16-may-2021,1621123200.0
addition4u.com,addition4u.com,08-feb-2021,1612742400.0
addpaypal.com,addpaypal.com,19-may-2021,1621382400.0
adminpanelfaker.space,adminpanelfaker.space,15-may-2021,1621036800.0
adminpaneltop.site,adminpaneltop.site,13-jun-2021,1623542400.0
adshiftmedia.com,adshiftmedia.com,30-jul-2021,1627603200.0
adultgameshacked.com,adultgameshacked.com,21-feb-2021,1613865600.0
aeriagenerator.com,aeriagenerator.com,21-apr-2021,1618963200.0
agmtrk.com,agmtrk.com,20-may-2022,1653004800.0
agpaving.com,agpaving.com,02-nov-2021,1635811200.0
airdrop-coinbase.com,airdrop-coinbase.com,10-feb-2021,1612915200.0
alivehacks.com,alivehacks.com,25-mar-2021,1616630400.0
all-games-cheats.com,all-games-cheats.com,26-apr-2021,1619395200.0
alldaycheats.com,alldaycheats.com,03-feb-2021,1612310400.0
allfreehack.com,allfreehack.com,08-aug-2021,1628380800.0
allfreesoftware.org,allfreesoftware.org,21-feb-2021,1613865600.0
allgamehacks.org,allgamehacks.org,12-jun-2021,1623456000.0
allgameshack.com,allgameshack.com,31-jan-2021,1612051200.0
allgengamingservers.com,allgengamingservers.com,25-jan-2021,1611532800.0
allgethack.com,allgethack.com,27-aug-2021,1630022400.0
allhack.net,allhack.net,13-apr-2021,1618272000.0
allhack4u.com,allhack4u.com,16-apr-2021,1618531200.0
allhacks2games.com,allhacks2games.com,09-jul-2021,1625788800.0
allhacksforgames.com,allhacksforgames.com,25-jun-2021,1624579200.0
alljazeera.co,alljazeera.co,26-jul-2021,1627257600.0
allthecheats.net,allthecheats.net,29-mar-2021,1616976000.0
almostmy.com,almostmy.com,11-jun-2021,1623369600.0
alphacsgo.pro,alphacsgo.pro,07-jun-2021,1623024000.0
alphajailbreak.com,alphajailbreak.com,12-jun-2021,1623456000.0
amazing-drop.net,amazing-drop.net,31-may-2021,1622419200.0
amazingbizplan.com,amazingbizplan.com,20-feb-2021,1613779200.0
amazingcash.org,amazingcash.org,16-aug-2021,1629072000.0
amazongiftcardgiveaway.com,amazongiftcardgiveaway.com,01-aug-2021,1627776000.0
amazongiftcardscodes.com,amazongiftcardscodes.com,01-may-2021,1619827200.0
americanunfinished.com,americanunfinished.com,29-may-2021,1622246400.0
amgcase.com,amgcase.com,13-apr-2021,1618272000.0
android-game-hacks.com,android-game-hacks.com,20-aug-2021,1629417600.0
androidblender.com,androidblender.com,17-mar-2021,1615939200.0
androidgamehacks.info,androidgamehacks.info,19-may-2021,1621382400.0
androidgamemods.com,androidgamemods.com,08-jun-2021,1623110400.0
androidhacks4u.com,androidhacks4u.com,05-feb-2021,1612483200.0
androidplayhack.com,androidplayhack.com,12-feb-2021,1613088000.0
androidwifihack.net,androidwifihack.net,26-jul-2021,1627257600.0
animaljamcodes2014.com,animaljamcodes2014.com,11-mar-2021,1615420800.0
anonymousf.info,anonymousf.info,25-jul-2021,1627171200.0
anonyscrip.com,anonyscrip.com,18-jun-2021,1623974400.0
anyhacks.com,anyhacks.com,02-apr-2021,1617321600.0
ao-mall.com,ao-mall.com,19-oct-2021,1634601600.0
apcoi.com,apcoi.com,14-apr-2021,1618358400.0
apkhacks.com,apkhacks.com,31-aug-2021,1630368000.0
apkhackz.com,apkhackz.com,02-sep-2021,1630540800.0
apkpros.com,apkpros.com,25-jul-2021,1627171200.0
apkspy.info,apkspy.info,27-apr-2021,1619481600.0
apktablets.com,apktablets.com,14-feb-2021,1613260800.0
app-cheats.net,app-cheats.net,18-mar-2021,1616025600.0
app-hack.com,app-hack.com,29-mar-2021,1616976000.0
apphack.online,apphack.online,21-feb-2021,1613865600.0
apple--iphone5.com,apple--iphone5.com,29-mar-2021,1616976000.0
applefreehacks.com,applefreehacks.com,27-aug-2021,1630022400.0
applesupport.club,applesupport.club,28-jul-2021,1627430400.0
applicationgrabb.net,applicationgrabb.net,22-feb-2021,1613952000.0
appmyass.com,appmyass.com,26-aug-2021,1629936000.0
appscracker.com,appscracker.com,16-jul-2021,1626393600.0
appsdroid.org,appsdroid.org,22-apr-2021,1619049600.0
appzoneteam.com,appzoneteam.com,02-jun-2021,1622592000.0
argonfiles.com,argonfiles.com,07-feb-2021,1612656000.0
argosvoucher.net,argosvoucher.net,17-aug-2021,1629158400.0
armhack.com,armhack.com,03-mar-2021,1614729600.0
armorhack.com,armorhack.com,09-mar-2021,1615248000.0
arroapp.com,arroapp.com,08-jun-2021,1623110400.0
askfmtracker.info,askfmtracker.info,21-may-2021,1621555200.0
astrocash.org,astrocash.org,23-feb-2021,1614038400.0
astrohacks.com,astrohacks.com,11-jul-2021,1625961600.0
atomicwallet.pro,atomicwallet.pro,30-jan-2021,1611964800.0
atomicwallet.ws,atomicwallet.ws,30-jan-2021,1611964800.0
atomicwalletweb.com,atomicwalletweb.com,07-feb-2021,1612656000.0
atshop.io,atshop.io,18-feb-2021,1613606400.0
authorizeddns.net,authorizeddns.net,07-jun-2021,1623024000.0
authorizeddns.org,authorizeddns.org,07-jun-2021,1623024000.0
authorizeddns.us,authorizeddns.us,06-jun-2021,1622937600.0
autolikefb.net,autolikefb.net,06-jul-2021,1625529600.0
avantcase.com,avantcase.com,14-may-2021,1620950400.0
awodaya.ru,awodaya.ru,07-mar-2021,1615075200.0
azhacks.com,azhacks.com,12-jun-2021,1623456000.0
b7ax3cyzhq.com,b7ax3cyzhq.com,13-feb-2021,1613174400.0
babyxox.com,babyxox.com,25-mar-2021,1616630400.0
backupthefile.com,backupthefile.com,04-sep-2021,1630713600.0
badadownload.com,badadownload.com,21-jun-2021,1624233600.0
badahub.com,badahub.com,30-mar-2021,1617062400.0
bagusholidays.com,bagusholidays.com,20-mar-2021,1616198400.0
bahoci.ru,bahoci.ru,06-jun-2021,1622937600.0
bandbuzzer.com,bandbuzzer.com,26-mar-2021,1616716800.0
bandithacks.com,bandithacks.com,31-jan-2021,1612051200.0
baronskins.com,baronskins.com,19-jun-2021,1624060800.0
battle-mix.com,battle-mix.com,24-aug-2021,1629763200.0
